attendance_id,student_id,student_name,class_name,date,status
1,1,Amelia,Year 10,2025-03-08,Present
2,1,Amelia,Year 10,2025-09-21,Present
3,1,Amelia,Year 10,2025-06-13,Present
4,1,Amelia,Year 10,2025-03-04,Present
5,1,Amelia,Year 10,2025-05-07,Present
6,1,Amelia,Year 10,2025-01-26,Present
7,1,Amelia,Year 10,2025-07-16,Absent
8,1,Amelia,Year 10,2025-08-03,Present
9,1,Amelia,Year 10,2025-03-23,Present
10,1,Amelia,Year 10,2025-10-23,Present
11,1,Amelia,Year 10,2025-04-08,Present
12,1,Amelia,Year 10,2025-09-13,Late
13,1,Amelia,Year 10,2025-08-28,Present
14,1,Amelia,Year 10,2025-06-07,Present
15,1,Amelia,Year 10,2025-02-16,Late
16,1,Amelia,Year 10,2025-09-16,Present
17,1,Amelia,Year 10,2025-05-04,Present
18,1,Amelia,Year 10,2025-06-30,Present
19,1,Amelia,Year 10,2025-05-25,Present
20,1,Amelia,Year 10,2025-12-01,Present
21,1,Amelia,Year 10,2025-05-27,Present
22,1,Amelia,Year 10,2025-02-25,Present
23,1,Amelia,Year 10,2025-05-16,Present
24,1,Amelia,Year 10,2025-07-26,Present
25,1,Amelia,Year 10,2025-07-25,Present
26,1,Amelia,Year 10,2025-10-15,Present
27,1,Amelia,Year 10,2025-10-11,Present
28,1,Amelia,Year 10,2025-07-17,Present
29,1,Amelia,Year 10,2025-10-09,Present
30,1,Amelia,Year 10,2025-11-16,Present
31,2,Arjun,Year 8,2025-03-02,Present
32,2,Arjun,Year 8,2025-02-19,Present
33,2,Arjun,Year 8,2025-06-23,Present
34,2,Arjun,Year 8,2025-07-07,Present
35,2,Arjun,Year 8,2025-04-12,Present
36,2,Arjun,Year 8,2025-07-25,Present
37,2,Arjun,Year 8,2025-01-24,Present
38,2,Arjun,Year 8,2025-06-20,Present
39,2,Arjun,Year 8,2025-09-23,Present
40,2,Arjun,Year 8,2025-11-07,Absent
41,2,Arjun,Year 8,2025-03-13,Present
42,2,Arjun,Year 8,2025-11-10,Present
43,2,Arjun,Year 8,2025-07-21,Late
44,2,Arjun,Year 8,2025-06-03,Present
45,2,Arjun,Year 8,2025-09-17,Present
46,2,Arjun,Year 8,2025-09-30,Present
47,2,Arjun,Year 8,2025-10-16,Present
48,2,Arjun,Year 8,2025-01-09,Present
49,2,Arjun,Year 8,2025-12-11,Present
50,2,Arjun,Year 8,2025-08-02,Present
51,2,Arjun,Year 8,2025-12-19,Present
52,2,Arjun,Year 8,2025-11-02,Present
53,2,Arjun,Year 8,2025-12-02,Present
54,2,Arjun,Year 8,2025-10-24,Present
55,2,Arjun,Year 8,2025-01-27,Present
56,2,Arjun,Year 8,2025-03-29,Present
57,2,Arjun,Year 8,2025-11-14,Present
58,2,Arjun,Year 8,2025-07-14,Present
59,2,Arjun,Year 8,2025-12-15,Present
60,2,Arjun,Year 8,2025-10-21,Late
61,3,Bella,Year 9,2025-02-26,Present
62,3,Bella,Year 9,2025-08-14,Present
63,3,Bella,Year 9,2025-03-19,Present
64,3,Bella,Year 9,2025-04-15,Present
65,3,Bella,Year 9,2025-11-10,Absent
66,3,Bella,Year 9,2025-02-01,Present
67,3,Bella,Year 9,2025-09-23,Present
68,3,Bella,Year 9,2025-06-16,Late
69,3,Bella,Year 9,2025-09-02,Present
70,3,Bella,Year 9,2025-06-10,Late
71,3,Bella,Year 9,2025-08-24,Absent
72,3,Bella,Year 9,2025-06-25,Present
