score_id,student_id,student_name,class_name,subject,score,assessment_date,teacher_name
1,1,Amelia,Year 10,Computing,74,2025-12-20,Mr Shah
2,1,Amelia,Year 10,Math,72,2025-02-24,Ms Carter
3,1,Amelia,Year 10,History,82,2025-07-25,Mrs Green
4,1,Amelia,Year 10,Math,70,2025-06-08,Mrs Green
5,1,Amelia,Year 10,English,59,2025-06-20,Ms Carter
6,1,Amelia,Year 10,Math,77,2025-11-21,Ms Carter
7,1,Amelia,Year 10,Computing,77,2025-04-10,Mr Shah
8,1,Amelia,Year 10,English,91,2025-11-27,Ms Carter
9,2,Arjun,Year 8,Science,51,2025-03-16,Mr Shah
10,2,Arjun,Year 8,Science,56,2025-11-05,Ms Carter
11,2,Arjun,Year 8,Math,56,2025-11-18,Mr Shah
12,2,Arjun,Year 8,History,93,2025-10-16,Mrs Green
13,2,Arjun,Year 8,History,88,2025-10-17,Mrs Green
14,2,Arjun,Year 8,Computing,65,2025-11-18,Mr Shah
15,2,Arjun,Year 8,Science,73,2025-02-04,Mr Shah
16,2,Arjun,Year 8,History,85,2025-06-05,Mr Shah
17,3,Bella,Year 9,Computing,48,2025-06-30,Mrs Green
18,3,Bella,Year 9,Math,64,2025-08-25,Mr Shah
19,3,Bella,Year 9,Math,48,2025-07-08,Mr Shah
20,3,Bella,Year 9,Math,86,2025-02-16,Mrs Green
21,3,Bella,Year 9,Computing,77,2025-07-16,Mr Shah
22,3,Bella,Year 9,Computing,80,2025-01-22,Mr Shah
23,3,Bella,Year 9,Computing,86,2025-04-07,Mr Shah
24,3,Bella,Year 9,Computing,75,2025-09-14,Ms Carter
25,4,Callum,Year 8,Math,73,2025-02-22,Mr Shah
26,4,Callum,Year 8,Math,77,2025-11-27,Ms Carter
27,4,Callum,Year 8,Math,60,2025-12-29,Mr Shah
28,4,Callum,Year 8,History,78,2025-09-25,Mrs Green
29,4,Callum,Year 8,Science,68,2025-07-10,Mr Shah
30,4,Callum,Year 8,History,71,2025-06-23,Mrs Green
31,4,Callum,Year 8,Computing,48,2025-11-20,Mrs Green
32,4,Callum,Year 8,English,49,2025-06-18,Ms Carter
33,5,Diya,Year 9,Computing,88,2025-07-17,Mr Shah
34,5,Diya,Year 9,English,91,2025-12-03,Mrs Green
35,5,Diya,Year 9,Science,66,2025-02-11,Mrs Green
36,5,Diya,Year 9,Science,67,2025-06-08,Mrs Green
37,5,Diya,Year 9,History,53,2025-11-01,Mrs Green
38,5,Diya,Year 9,Math,64,2025-10-14,Mr Shah
39,5,Diya,Year 9,English,97,2025-03-07,Mrs Green
40,5,Diya,Year 9,Computing,50,2025-11-27,Mrs Green
41,6,Ethan,Year 8,History,77,2025-07-05,Ms Carter
42,6,Ethan,Year 8,English,64,2025-04-03,Ms Carter
43,6,Ethan,Year 8,English,94,2025-09-06,Ms Carter
44,6,Ethan,Year 8,Science,53,2025-03-21,Ms Carter
45,6,Ethan,Year 8,English,95,2025-02-21,Mrs Green
46,6,Ethan,Year 8,Computing,98,2025-09-27,Ms Carter
47,6,Ethan,Year 8,English,94,2025-11-13,Ms Carter
48,6,Ethan,Year 8,Computing,69,2025-03-20,Ms Carter
49,7,Freya,Year 9,Science,98,2025-12-21,Mrs Green
50,7,Freya,Year 9,Science,91,2025-08-13,Ms Carter
51,7,Freya,Year 9,History,68,2025-12-13,Mrs Green
52,7,Freya,Year 9,Science,73,2025-11-09,Mr Shah
53,7,Freya,Year 9,History,59,2025-10-01,Ms Carter
54,7,Freya,Year 9,English,96,2025-08-29,Ms Carter
55,7,Freya,Year 9,English,88,2025-10-20,Mr Shah
56,7,Freya,Year 9,History,94,2025-05-25,Mr Shah
57,8,Harvey,Year 10,Computing,78,2025-08-03,Ms Carter
58,8,Harvey,Year 10,Science,96,2025-11-06,Ms Carter
59,8,Harvey,Year 10,English,48,2025-11-25,Mr Shah
