record_id,employee_id,employee_name,department,performance_score,review_date,manager,engagement_score,attendance_rate
1,1,Ava,Sales,61,2025-02-05,Manager C,56,90.2
2,1,Ava,Sales,76,2025-04-04,Manager B,63,96.6
3,1,Ava,Sales,58,2025-06-24,Manager A,60,89.8
4,1,Ava,Sales,71,2025-08-16,Manager B,81,91.7
5,1,Ava,Sales,89,2025-10-26,Manager B,84,96.4
6,1,Ava,Sales,79,2025-12-02,Manager A,64,88.7
7,2,Blake,Engineering,83,2025-02-25,Manager A,89,93.6
8,2,Blake,Engineering,74,2025-04-07,Manager B,55,89.5
9,2,Blake,Engineering,73,2025-06-25,Manager B,83,91.0
10,2,Blake,Engineering,70,2025-08-02,Manager B,61,94.3
11,2,Blake,Engineering,88,2025-10-07,Manager B,98,99.5
12,2,Blake,Engineering,68,2025-12-11,Manager C,57,96.9
13,3,Cara,Sales,91,2025-02-18,Manager A,71,93.8
14,3,Cara,Sales,70,2025-04-10,Manager B,58,98.4
15,3,Cara,Sales,65,2025-06-07,Manager A,95,93.2
16,3,Cara,Sales,68,2025-08-01,Manager B,92,89.4
17,3,Cara,Sales,73,2025-10-26,Manager A,57,95.0
18,3,Cara,Sales,88,2025-12-23,Manager C,93,89.9
19,4,Dylan,Sales,63,2025-02-25,Manager A,65,94.0
20,4,Dylan,Sales,97,2025-04-22,Manager B,95,88.7
21,4,Dylan,Sales,67,2025-06-12,Manager C,89,97.5
22,4,Dylan,Sales,89,2025-08-05,Manager A,75,99.8
23,4,Dylan,Sales,80,2025-10-26,Manager B,67,88.3
24,4,Dylan,Sales,80,2025-12-13,Manager C,63,91.0
25,5,Elena,Marketing,89,2025-02-02,Manager C,83,94.7
26,5,Elena,Marketing,89,2025-04-18,Manager A,91,90.2
27,5,Elena,Marketing,78,2025-06-12,Manager C,84,91.3
28,5,Elena,Marketing,96,2025-08-27,Manager C,65,88.8
29,5,Elena,Marketing,86,2025-10-05,Manager B,71,94.5
30,5,Elena,Marketing,58,2025-12-15,Manager C,87,92.5
31,6,Finn,Engineering,59,2025-02-06,Manager C,78,97.3
32,6,Finn,Engineering,78,2025-04-08,Manager C,59,95.9
33,6,Finn,Engineering,82,2025-06-18,Manager A,88,96.2
34,6,Finn,Engineering,93,2025-08-25,Manager A,94,91.4
35,6,Finn,Engineering,78,2025-10-14,Manager A,61,94.3
36,6,Finn,Engineering,60,2025-12-03,Manager A,66,98.5
37,7,Grace,HR,64,2025-02-07,Manager B,67,89.2
38,7,Grace,HR,82,2025-04-19,Manager C,86,94.3
39,7,Grace,HR,95,2025-06-23,Manager B,58,92.4
40,7,Grace,HR,62,2025-08-20,Manager A,68,95.9
41,7,Grace,HR,63,2025-10-27,Manager B,95,88.7
42,7,Grace,HR,84,2025-12-18,Manager B,100,88.7
43,8,Harry,Operations,75,2025-02-20,Manager C,57,96.8
44,8,Harry,Operations,77,2025-04-27,Manager A,68,99.5
45,8,Harry,Operations,64,2025-06-04,Manager C,69,94.4
46,8,Harry,Operations,70,2025-08-07,Manager C,97,91.0
47,8,Harry,Operations,69,2025-10-21,Manager C,90,93.0
48,8,Harry,Operations,98,2025-12-04,Manager C,77,96.1
49,9,Imani,HR,85,2025-02-23,Manager A,65,97.5
50,9,Imani,HR,83,2025-04-18,Manager C,76,95.9
51,9,Imani,HR,96,2025-06-18,Manager B,77,98.8
52,9,Imani,HR,78,2025-08-18,Manager B,81,97.2
53,9,Imani,HR,78,2025-10-14,Manager C,70,94.8
54,9,Imani,HR,82,2025-12-07,Manager C,71,92.3
55,10,Jon,Marketing,86,2025-02-15,Manager B,55,96.7
56,10,Jon,Marketing,96,2025-04-10,Manager A,88,89.6
57,10,Jon,Marketing,58,2025-06-10,Manager B,69,90.6
58,10,Jon,Marketing,59,2025-08-11,Manager C,72,99.0
59,10,Jon,Marketing,93,2025-10-17,Manager C,91,89.9
60,10,Jon,Marketing,87,2025-12-02,Manager B,64,89.7
61,11,Keira,Operations,95,2025-02-12,Manager A,69,91.1
62,11,Keira,Operations,63,2025-04-10,Manager C,80,94.8
63,11,Keira,Operations,62,2025-06-07,Manager C,75,97.5
64,11,Keira,Operations,89,2025-08-06,Manager C,99,94.9
65,11,Keira,Operations,96,2025-10-04,Manager C,74,88.4
66,11,Keira,Operations,94,2025-12-26,Manager B,60,97.4
67,12,Luca,HR,79,2025-02-25,Manager B,82,93.0
68,12,Luca,HR,65,2025-04-28,Manager A,96,98.2
69,12,Luca,HR,98,2025-06-01,Manager C,79,88.6
70,12,Luca,HR,60,2025-08-17,Manager B,89,94.8
71,12,Luca,HR,90,2025-10-11,Manager C,69,89.8
72,12,Luca,HR,83,2025-12-22,Manager B,93,94.9
73,13,Nina,Sales,72,2025-02-03,Manager B,73,97.4
74,13,Nina,Sales,66,2025-04-05,Manager B,60,93.7
75,13,Nina,Sales,61,2025-06-24,Manager C,80,91.2
76,13,Nina,Sales,90,2025-08-13,Manager B,99,89.6
77,13,Nina,Sales,88,2025-10-05,Manager C,67,93.9
78,13,Nina,Sales,94,2025-12-21,Manager A,90,95.4
79,14,Owen,Marketing,91,2025-02-24,Manager A,70,88.9
80,14,Owen,Marketing,85,2025-04-25,Manager B,98,99.1
81,14,Owen,Marketing,65,2025-06-03,Manager C,81,93.1
82,14,Owen,Marketing,70,2025-08-12,Manager B,77,95.1
83,14,Owen,Marketing,77,2025-10-01,Manager A,77,95.4
84,14,Owen,Marketing,86,2025-12-26,Manager C,64,93.3
85,15,Paige,Engineering,72,2025-02-27,Manager A,98,92.5
86,15,Paige,Engineering,63,2025-04-25,Manager A,58,90.9
87,15,Paige,Engineering,67,2025-06-20,Manager B,55,92.1
88,15,Paige,Engineering,65,2025-08-26,Manager B,83,93.7
89,15,Paige,Engineering,71,2025-10-11,Manager C,89,90.5
90,15,Paige,Engineering,91,2025-12-18,Manager B,90,93.8
